route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id,wheelchair_accessible,direction_name,bikes_allowed
vilnius_nightbus_N1,465819,AN1-01-5-250901-ab-2500,"Saulėtekis",0,AN1-01-5-250901-2487338,vilnius_nightbus_N1_a-b,1,"Centras–Antakalnis–Saulėtekis",0
vilnius_nightbus_N1,465819,AN1-02-5-250901-ab-2530,"Saulėtekis",0,AN1-02-5-250901-2487339,vilnius_nightbus_N1_a-b,1,"Centras–Antakalnis–Saulėtekis",0
vilnius_nightbus_N1,465819,AN1-01-5-250901-ab-2600,"Saulėtekis",0,AN1-01-5-250901-2487338,vilnius_nightbus_N1_a-b,1,"Centras–Antakalnis–Saulėtekis",0
vilnius_nightbus_N1,465819,AN1-02-5-250901-ab-2630,"Saulėtekis",0,AN1-02-5-250901-2487339,vilnius_nightbus_N1_a-b,1,"Centras–Antakalnis–Saulėtekis",0
vilnius_nightbus_N1,465819,AN1-01-5-250901-ab-2700,"Saulėtekis",0,AN1-01-5-250901-2487338,vilnius_nightbus_N1_a-b,1,"Centras–Antakalnis–Saulėtekis",0
vilnius_nightbus_N1,465819,AN1-02-5-250901-ab-2730,"Saulėtekis",0,AN1-02-5-250901-2487339,vilnius_nightbus_N1_a-b,1,"Centras–Antakalnis–Saulėtekis",0
vilnius_nightbus_N1,465824,AN9-03-5-250901-ab-2800,"Saulėtekis",0,AN9-03-5-250901-2487353,vilnius_nightbus_N1_a-b,1,"Centras–Antakalnis–Saulėtekis",0
vilnius_nightbus_N1,465819,AN1-01-5-250901-ba-2430,"Centras",1,AN1-01-5-250901-2487338,vilnius_nightbus_N1_b-a,1,"Saulėtekis–Antakalnis–Centras",0
vilnius_nightbus_N1,465819,AN1-02-5-250901-ba-2500,"Centras",1,AN1-02-5-250901-2487339,vilnius_nightbus_N1_b-a,1,"Saulėtekis–Antakalnis–Centras",0
vilnius_nightbus_N1,465819,AN1-01-5-250901-ba-2530,"Centras",1,AN1-01-5-250901-2487338,vilnius_nightbus_N1_b-a,1,"Saulėtekis–Antakalnis–Centras",0
vilnius_nightbus_N1,465819,AN1-02-5-250901-ba-2600,"Centras",1,AN1-02-5-250901-2487339,vilnius_nightbus_N1_b-a,1,"Saulėtekis–Antakalnis–Centras",0
vilnius_nightbus_N1,465819,AN1-01-5-250901-ba-2630,"Centras",1,AN1-01-5-250901-2487338,vilnius_nightbus_N1_b-a,1,"Saulėtekis–Antakalnis–Centras",0
vilnius_nightbus_N1,465819,AN1-02-5-250901-ba-2700,"Centras",1,AN1-02-5-250901-2487339,vilnius_nightbus_N1_b-a,1,"Saulėtekis–Antakalnis–Centras",0
