stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,stop_url,location_type,parent_station,platform_code
6913,,"Pijaus Žadeikos st.","link Ateities g.",54.73504,25.24753,https://www.stops.lt/vilnius/index.html#stop/3816,,,
6915,,"Pijaus Žadeikos st.","link Gedvydžių g.",54.73552,25.24623,https://www.stops.lt/vilnius/index.html#stop/3831,,,
6914,,"Pijaus Žadeikos st.","link Ukmergės g.",54.73490,25.24626,https://www.stops.lt/vilnius/index.html#stop/3815,,,
6763,,"Sporto gimnazija","link Ukmergės g.",54.73161,25.24241,https://www.stops.lt/vilnius/index.html#stop/3812,,,
6911,,"Sporto gimnazija","link Fabijoniškių g.",54.73299,25.24470,https://www.stops.lt/vilnius/index.html#stop/3814,,,
6924,,"Jovaro st.","link centro",54.72287,25.25407,https://www.stops.lt/vilnius/index.html#stop/3829,,,
6926,,"Jovaro st.","iš centro",54.72384,25.25396,https://www.stops.lt/vilnius/index.html#stop/3828,,,
5813,,"Liongino Baliukevičiaus - Dzūko st.","link centro",54.73313,25.25369,https://www.stops.lt/vilnius/index.html#stop/3821,,,
6917,,"Pamiškė","link centro",54.72958,25.25452,https://www.stops.lt/vilnius/index.html#stop/3825,,,
6918,,"Pamiškė","iš centro",54.73041,25.25490,https://www.stops.lt/vilnius/index.html#stop/3824,,,
6921,,"Simono Stanevičiaus st.","link centro",54.72520,25.25372,https://www.stops.lt/vilnius/index.html#stop/3827,,,
6922,,"Simono Stanevičiaus st.","iš centro",54.72610,25.25418,https://www.stops.lt/vilnius/index.html#stop/3826,,,
446,,"Fabijoniškės","iš centro",54.73145,25.23739,https://www.stops.lt/vilnius/index.html#stop/3802,,,
481,,"Gedvydžių st.","iš centro",54.73463,25.23419,https://www.stops.lt/vilnius/index.html#stop/3805,,,
5443,,"Gedvydžių st.","link centro",54.73413,25.23420,https://www.stops.lt/vilnius/index.html#stop/3322,,,
4388,,"Igno Šeiniaus st.","iš centro",54.72146,25.24426,https://www.stops.lt/vilnius/index.html#stop/3832,,,
5451,,"Igno Šeiniaus st.","link centro",54.72179,25.24353,https://www.stops.lt/vilnius/index.html#stop/3325,,,
823,,"Stasio Lozoraičio st.","iš centro",54.72440,25.24251,https://www.stops.lt/vilnius/index.html#stop/3801,,,
5450,,"Stasio Lozoraičio st.","link centro",54.72401,25.24241,https://www.stops.lt/vilnius/index.html#stop/3323,,,
7811,,"Liudviko Zamenhofo st.","iš centro",54.74106,25.22889,https://www.stops.lt/vilnius/index.html#stop/3835,,,
5518,,"Takas","link centro",54.73296,25.23689,https://www.stops.lt/vilnius/index.html#stop/3803,,,
5519,,"Takas","iš centro",54.73416,25.23594,https://www.stops.lt/vilnius/index.html#stop/3804,,,
7809,,"Vėtrungių st.","link centro",54.73729,25.23245,https://www.stops.lt/vilnius/index.html#stop/3833,,,
7810,,"Vėtrungių st.","iš centro",54.73817,25.23175,https://www.stops.lt/vilnius/index.html#stop/3834,,,
8269,,"Kaimelio st.","iš centro",54.73059,25.24448,https://www.stops.lt/vilnius/index.html#stop/3839,,,
17869,,"Mamerto Indriliūno st.","link Bajorų",54.74768,25.24472,https://www.stops.lt/vilnius/index.html#stop/2026,,,
8270,,"Kaimelio žiedas","iš centro",54.73155,25.24488,https://www.stops.lt/vilnius/index.html#stop/3840,,,
17867,,"Mamerto Indriliūno st.","link Ateities g.",54.74709,25.24589,https://www.stops.lt/vilnius/index.html#stop/2025,,,
9152,,"Perkūno st.","iš centro",54.73936,25.22774,https://www.stops.lt/vilnius/index.html#stop/3331,,,
18831,,"Mykolo Lietuvio st.","iš centro",54.74337,25.22620,https://www.stops.lt/vilnius/index.html#stop/3850,,,
18674,,"Vėtrungių st.","iš centro",54.73745,25.23185,https://www.stops.lt/vilnius/index.html#stop/3339,,,
17871,,"Mykolo Sleževičiaus st.","link Ateities g.",54.73889,25.25557,https://www.stops.lt/vilnius/index.html#stop/2027,,,
17872,,"Mykolo Sleževičiaus st.","link Bajorų",54.73863,25.25718,https://www.stops.lt/vilnius/index.html#stop/2028,,,
17862,,"Prano Vaičaičio st.","link Ateities g.",54.74077,25.25086,https://www.stops.lt/vilnius/index.html#stop/2020,,,
17863,,"Prano Vaičaičio st.","link Bajorų",54.74074,25.25118,https://www.stops.lt/vilnius/index.html#stop/2021,,,
17865,,"Visorių sodai","link Ateities g.",54.74565,25.25082,https://www.stops.lt/vilnius/index.html#stop/2023,,,
17866,,"Visorių sodai","link Bajorų",54.74482,25.25071,https://www.stops.lt/vilnius/index.html#stop/2024,,,
6198,,"Vakario st.","link miesto",54.71454,25.41260,https://www.stops.lt/vilnius/index.html#stop/4604,,,
17268,,"Šv.Jono Bosko gimnazija","galinė st.",54.71652,25.42595,https://www.stops.lt/vilnius/index.html#stop/1062,,,
17263,,"Centrinė st.","iš centro",54.71276,25.41542,https://www.stops.lt/vilnius/index.html#stop/1058,,,
17265,,"Centrinė st.","į centrą",54.71277,25.41509,https://www.stops.lt/vilnius/index.html#stop/1060,,,
17270,,"Egliškės","į miestą",54.71739,25.42249,https://www.stops.lt/vilnius/index.html#stop/1063,,,
17272,,"Egliškės","iš centro",54.71771,25.42313,https://www.stops.lt/vilnius/index.html#stop/1065,,,
18565,,"Spalio st.","link miesto",54.71449,25.41840,https://www.stops.lt/vilnius/index.html#stop/1061,,,
18566,,"Spalio st.","iš miesto",54.71472,25.41890,https://www.stops.lt/vilnius/index.html#stop/1059,,,
5742,,"Galvės st.","link Kirtimų g.",54.63274,25.15080,https://www.stops.lt/vilnius/index.html#stop/2910,,,
5731,,"Lentvario st.","link Savanorių pr.",54.63874,25.17833,https://www.stops.lt/vilnius/index.html#stop/2904,,,
5732,,"Lentvario st.","link A.Panerių",54.63836,25.17726,https://www.stops.lt/vilnius/index.html#stop/2905,,,
7055,,"Stasylų st.","link Ž. Panerių",54.62871,25.13342,https://www.stops.lt/vilnius/index.html#stop/2941,,,
7056,,"Stasylų st.","link Trakų Vokės",54.62829,25.13073,https://www.stops.lt/vilnius/index.html#stop/2940,,,
4410,,"Vilijos st.","link Savanorių pr.",54.63595,25.17316,https://www.stops.lt/vilnius/index.html#stop/2937,,,
5738,,"Vilijos st.","link Kirtimų g.",54.63557,25.17174,https://www.stops.lt/vilnius/index.html#stop/2938,,,
5728,,"Fizikos institutas","visos kryptys",54.64212,25.18254,https://www.stops.lt/vilnius/index.html#stop/2903,,,
6297,,"Gariūnai","link Savanorių pr.",54.65892,25.15913,https://www.stops.lt/vilnius/index.html#stop/2927,,,
6609,,"Gariūnai","link Lazdynų",54.65908,25.16073,https://www.stops.lt/vilnius/index.html#stop/2928,,,
6309,,"Vandenvala","link Gariūnų",54.66539,25.17311,https://www.stops.lt/vilnius/index.html#stop/2933,,,
6310,,"Vandenvala","link Lazdynų",54.66534,25.17380,https://www.stops.lt/vilnius/index.html#stop/2934,,,
7730,,"Elektrinės st.","link Gariūnų",54.66746,25.16205,https://www.stops.lt/vilnius/index.html#stop/2932,,,
7731,,"Elektrinės st.","iš Gariūnų",54.66774,25.16234,https://www.stops.lt/vilnius/index.html#stop/2944,,,
6300,,"Jočionys","link Gariūnų",54.66413,25.16171,https://www.stops.lt/vilnius/index.html#stop/2930,,,
6301,,"Jočionys","link TE-3",54.66474,25.16189,https://www.stops.lt/vilnius/index.html#stop/2931,,,
6294,,"Kauno plentas","link Kirtimų g.",54.65524,25.15088,https://www.stops.lt/vilnius/index.html#stop/2925,,,
6295,,"Kauno plentas","link Gariūnų",54.65424,25.15088,https://www.stops.lt/vilnius/index.html#stop/2924,,,
6290,,"Kulokiškės","iš miesto",54.64564,25.14227,https://www.stops.lt/vilnius/index.html#stop/2922,,,
6291,,"Kulokiškės","link miesto",54.64538,25.14395,https://www.stops.lt/vilnius/index.html#stop/2923,,,
6282,,"Liudvinava","link Mūrinės Vokės",54.64716,25.12816,https://www.stops.lt/vilnius/index.html#stop/2936,,,
6283,,"Liudvinava","link Kirtimų g.",54.64705,25.12837,https://www.stops.lt/vilnius/index.html#stop/2935,,,
6286,,"Mūrinė Vokė","visos kryptys",54.64828,25.12176,https://www.stops.lt/vilnius/index.html#stop/3901,,,
6296,,"Gariūnai","link TE-3",54.65999,25.16061,https://www.stops.lt/vilnius/index.html#stop/2926,,,
4455,,"Prekybos bazė","visos kryptys",54.65806,25.13807,https://www.stops.lt/vilnius/index.html#stop/2939,,,
5564,,"Valkininkų st.","link Savanorių pr.",54.64395,25.19972,https://www.stops.lt/vilnius/index.html#stop/2901,,,
357,,"Aukštieji Paneriai","link Savanorių pr.",54.63135,25.17403,https://www.stops.lt/vilnius/index.html#stop/2906,,,
6278,,"Asfalto st.","link Lentvario g.",54.64480,25.13449,https://www.stops.lt/vilnius/index.html#stop/2920,,,
6279,,"Asfalto st.","link Galvės g.",54.64519,25.13463,https://www.stops.lt/vilnius/index.html#stop/2921,,,
6276,,"Liudvinavo st.","link Galvės g.",54.64015,25.13522,https://www.stops.lt/vilnius/index.html#stop/2919,,,
6277,,"Liudvinavo st.","link Lentvario g.",54.64067,25.13522,https://www.stops.lt/vilnius/index.html#stop/2918,,,
6273,,"Šešėlių st.","link Galvės g.",54.63715,25.13563,https://www.stops.lt/vilnius/index.html#stop/2917,,,
6274,,"Šešėlių st.","link Lentvario g.",54.63760,25.13566,https://www.stops.lt/vilnius/index.html#stop/2916,,,
6270,,"Žarijų st.","link Liudvinavo",54.63239,25.14007,https://www.stops.lt/vilnius/index.html#stop/2914,,,
6271,,"Žarijų st.","link Galvės g.",54.63223,25.14053,https://www.stops.lt/vilnius/index.html#stop/2915,,,
9776,,"Galvės st.","link Savanorių pr.",54.63247,25.15096,https://www.stops.lt/vilnius/index.html#stop/2908,,,
9626,,"Mūrinė Vokė","visos kryptys",54.64838,25.12157,https://www.stops.lt/vilnius/index.html#stop/3911,,,
9627,,"Stasio Krasausko st.","iš miesto",54.64433,25.09079,https://www.stops.lt/vilnius/index.html#stop/3912,,,
9628,,"Stasio Krasausko st.","link miesto",54.64446,25.09120,https://www.stops.lt/vilnius/index.html#stop/3913,,,
8784,,"Aukštieji Paneriai","link Kirtimų g.",54.63126,25.17376,https://www.stops.lt/vilnius/index.html#stop/2945,,,
4479,,"Naujosios Gineitiškės","link Antežerių",54.73597,25.20137,https://www.stops.lt/vilnius/index.html#stop/4407,,,
7395,,"Naujosios Gineitiškės","link Pašilaičių",54.73583,25.20239,https://www.stops.lt/vilnius/index.html#stop/4411,,,
6032,,"Grigaičiai","link Grigaičių",54.68095,25.41305,https://www.stops.lt/vilnius/index.html#stop/5160,,,
4965,,"Grigaičių žiedas","visos kryptys",54.66430,25.41555,https://www.stops.lt/vilnius/index.html#stop/5163,,,
6029,,"Jaunimo st.","iš N.Vilnios",54.66994,25.41217,https://www.stops.lt/vilnius/index.html#stop/5161,,,
6030,,"Jaunimo st.","link N.Vilnios",54.66979,25.41227,https://www.stops.lt/vilnius/index.html#stop/5162,,,
7356,,"Karklėnai","link Grigaičių",54.67551,25.41435,https://www.stops.lt/vilnius/index.html#stop/5194,,,
7357,,"Karklėnai","link N.Vilnios",54.67511,25.41440,https://www.stops.lt/vilnius/index.html#stop/5195,,,
6603,,"Kunigiškių st.","iš centro",54.67057,25.09277,https://www.stops.lt/vilnius/index.html#stop/4102,,,
4454,,"Salos","link centro",54.66862,25.10393,https://www.stops.lt/vilnius/index.html#stop/4120,,,
6604,,"Šviesos st.","link centro",54.66959,25.09601,https://www.stops.lt/vilnius/index.html#stop/4119,,,
15964,,"Kovo 11-osios st.","link centro",54.67450,25.08827,https://www.stops.lt/vilnius/index.html#stop/4121,,,
16267,,"Kauno Vokės st.","link centro",54.68066,25.07473,https://www.stops.lt/vilnius/index.html#stop/4127,,,
16268,,"Kauno Vokės st.","iš centro",54.68059,25.07504,https://www.stops.lt/vilnius/index.html#stop/4128,,,
16263,,"Vokės sodai","link centro",54.68346,25.07075,https://www.stops.lt/vilnius/index.html#stop/4124,,,
16266,,"Vokės sodai","iš centro",54.68403,25.07035,https://www.stops.lt/vilnius/index.html#stop/4126,,,
8945,,"Kunigiškių st.","link centro",54.67045,25.09297,https://www.stops.lt/vilnius/index.html#stop/4107,,,
9834,,"Salos","iš centro",54.66833,25.10068,https://www.stops.lt/vilnius/index.html#stop/4104,,,
8944,,"Šviesos st.","iš centro",54.66945,25.09672,https://www.stops.lt/vilnius/index.html#stop/4103,,,
9614,,"Grigiškių žiedas","visos kryptys",54.67362,25.08231,https://www.stops.lt/vilnius/index.html#stop/4114,,,
9484,,"Kranto st.","iš centro",54.67349,25.08072,https://www.stops.lt/vilnius/index.html#stop/4112,,,
9615,,"Kranto st.","link centro",54.67329,25.08022,https://www.stops.lt/vilnius/index.html#stop/4115,,,
9485,,"Žalioji st.","iš centro",54.66999,25.07720,https://www.stops.lt/vilnius/index.html#stop/4113,,,
9616,,"Žalioji st.","link centro",54.66959,25.07668,https://www.stops.lt/vilnius/index.html#stop/4116,,,
